Timestamp,Source MAC,Destination MAC,In Port
2023-03-01 22:14:22.360422,2e:dc:86:02:d4:3d,33:33:00:00:00:02,9
2023-03-01 22:14:22.362403,3a:3e:1a:93:d2:2b,33:33:00:00:00:02,9
2023-03-01 22:14:22.364830,2e:dc:86:02:d4:3d,33:33:00:00:00:02,9
2023-03-01 22:14:22.366904,3a:3e:1a:93:d2:2b,33:33:00:00:00:02,9
2023-03-01 22:14:22.369062,2e:dc:86:02:d4:3d,33:33:00:00:00:02,9
2023-03-01 22:14:22.370694,3a:3e:1a:93:d2:2b,33:33:00:00:00:02,9
2023-03-01 22:14:22.372137,3a:3e:1a:93:d2:2b,33:33:00:00:00:02,9
2023-03-01 22:14:22.373724,2e:dc:86:02:d4:3d,33:33:00:00:00:02,9
2023-03-01 22:14:22.375588,3a:3e:1a:93:d2:2b,33:33:00:00:00:02,9
2023-03-01 22:14:22.377447,2e:dc:86:02:d4:3d,33:33:00:00:00:02,9
2023-03-01 22:14:22.379032,3a:3e:1a:93:d2:2b,33:33:00:00:00:02,9
2023-03-01 22:14:38.711081,be:dc:90:60:d8:2c,33:33:00:00:00:02,2
2023-03-01 22:14:38.713928,3a:53:48:d9:f3:c6,33:33:00:00:00:02,4
2023-03-01 22:14:38.717910,be:dc:90:60:d8:2c,33:33:00:00:00:02,9
2023-03-01 22:14:38.720145,0e:d0:79:44:15:32,33:33:00:00:00:02,7
2023-03-01 22:14:38.721988,be:dc:90:60:d8:2c,33:33:00:00:00:02,9
2023-03-01 22:14:38.724025,be:dc:90:60:d8:2c,33:33:00:00:00:02,9
2023-03-01 22:14:38.727016,0e:ee:71:f0:25:b7,33:33:00:00:00:02,3
2023-03-01 22:14:38.729667,42:84:f4:b6:6f:93,33:33:00:00:00:02,5
2023-03-01 22:14:38.732718,be:dc:90:60:d8:2c,33:33:00:00:00:02,9
2023-03-01 22:14:38.734380,be:dc:90:60:d8:2c,33:33:00:00:00:02,9
2023-03-01 22:14:38.736078,be:dc:90:60:d8:2c,33:33:00:00:00:02,9
2023-03-01 22:14:38.737816,be:dc:90:60:d8:2c,33:33:00:00:00:02,9
2023-03-01 22:14:38.740505,3a:53:48:d9:f3:c6,33:33:00:00:00:02,8
2023-03-01 22:14:38.743623,0e:d0:79:44:15:32,33:33:00:00:00:02,5
2023-03-01 22:14:38.746088,0e:ee:71:f0:25:b7,33:33:00:00:00:02,1
2023-03-01 22:14:38.748553,42:84:f4:b6:6f:93,33:33:00:00:00:02,1
2023-03-01 22:14:38.751978,3a:53:48:d9:f3:c6,33:33:00:00:00:02,9
2023-03-01 22:14:38.756439,3a:53:48:d9:f3:c6,33:33:00:00:00:02,9
2023-03-01 22:14:38.758977,3a:53:48:d9:f3:c6,33:33:00:00:00:02,9
2023-03-01 22:14:38.761510,3a:53:48:d9:f3:c6,33:33:00:00:00:02,9
2023-03-01 22:14:38.763499,3a:53:48:d9:f3:c6,33:33:00:00:00:02,9
2023-03-01 22:14:38.765300,3a:53:48:d9:f3:c6,33:33:00:00:00:02,9
2023-03-01 22:14:38.767322,3a:53:48:d9:f3:c6,33:33:00:00:00:02,9
2023-03-01 22:14:38.772304,0e:d0:79:44:15:32,33:33:00:00:00:02,9
2023-03-01 22:14:38.775326,0e:ee:71:f0:25:b7,33:33:00:00:00:02,9
2023-03-01 22:14:38.778654,42:84:f4:b6:6f:93,33:33:00:00:00:02,9
2023-03-01 22:14:38.781325,0e:d0:79:44:15:32,33:33:00:00:00:02,9
2023-03-01 22:14:38.783046,0e:ee:71:f0:25:b7,33:33:00:00:00:02,9
2023-03-01 22:14:38.784708,42:84:f4:b6:6f:93,33:33:00:00:00:02,9
2023-03-01 22:14:38.786986,0e:ee:71:f0:25:b7,33:33:00:00:00:02,9
2023-03-01 22:14:38.789105,42:84:f4:b6:6f:93,33:33:00:00:00:02,9
2023-03-01 22:14:38.790978,0e:d0:79:44:15:32,33:33:00:00:00:02,9
2023-03-01 22:14:38.792236,0e:ee:71:f0:25:b7,33:33:00:00:00:02,9
2023-03-01 22:14:38.793610,42:84:f4:b6:6f:93,33:33:00:00:00:02,9
2023-03-01 22:14:38.795265,0e:d0:79:44:15:32,33:33:00:00:00:02,9
2023-03-01 22:14:38.796935,0e:ee:71:f0:25:b7,33:33:00:00:00:02,9
2023-03-01 22:14:38.798632,42:84:f4:b6:6f:93,33:33:00:00:00:02,9
2023-03-01 22:14:38.800084,0e:d0:79:44:15:32,33:33:00:00:00:02,9
2023-03-01 22:14:38.801997,0e:ee:71:f0:25:b7,33:33:00:00:00:02,9
2023-03-01 22:14:38.806514,42:84:f4:b6:6f:93,33:33:00:00:00:02,9
2023-03-01 22:14:38.807939,0e:d0:79:44:15:32,33:33:00:00:00:02,9
2023-03-01 22:14:38.809946,0e:ee:71:f0:25:b7,33:33:00:00:00:02,9
2023-03-01 22:14:38.811976,42:84:f4:b6:6f:93,33:33:00:00:00:02,9
2023-03-01 22:14:38.814837,0e:d0:79:44:15:32,33:33:00:00:00:02,9
2023-03-01 22:14:55.096309,0a:5e:ca:0c:d7:ad,33:33:00:00:00:02,2
2023-03-01 22:14:55.098309,d6:63:75:43:c1:bf,33:33:00:00:00:02,6
2023-03-01 22:14:55.100261,fe:e8:8a:be:88:3d,33:33:00:00:00:02,1
2023-03-01 22:14:55.103179,d2:7d:f5:4d:a2:08,33:33:00:00:00:02,2
2023-03-01 22:14:55.108414,9a:74:44:ba:55:71,33:33:00:00:00:02,9
2023-03-01 22:14:55.112706,da:1a:05:ae:ee:14,33:33:00:00:00:02,8
2023-03-01 22:14:55.115925,7a:3c:7f:89:c6:9c,33:33:00:00:00:02,2
2023-03-01 22:14:55.125840,0a:5e:ca:0c:d7:ad,33:33:00:00:00:02,5
2023-03-01 22:14:55.131982,d6:63:75:43:c1:bf,33:33:00:00:00:02,5
2023-03-01 22:14:55.135015,fe:e8:8a:be:88:3d,33:33:00:00:00:02,8
2023-03-01 22:14:55.137582,d2:7d:f5:4d:a2:08,33:33:00:00:00:02,1
2023-03-01 22:14:55.140968,da:1a:05:ae:ee:14,33:33:00:00:00:02,6
2023-03-01 22:14:55.143685,7a:3c:7f:89:c6:9c,33:33:00:00:00:02,4
2023-03-01 22:14:55.154891,0a:5e:ca:0c:d7:ad,33:33:00:00:00:02,9
2023-03-01 22:14:55.158163,d6:63:75:43:c1:bf,33:33:00:00:00:02,9
2023-03-01 22:14:55.163273,fe:e8:8a:be:88:3d,33:33:00:00:00:02,9
2023-03-01 22:14:55.166636,d2:7d:f5:4d:a2:08,33:33:00:00:00:02,9
2023-03-01 22:14:55.169172,da:1a:05:ae:ee:14,33:33:00:00:00:02,9
2023-03-01 22:14:55.171670,7a:3c:7f:89:c6:9c,33:33:00:00:00:02,9
2023-03-01 22:14:55.174221,0a:5e:ca:0c:d7:ad,33:33:00:00:00:02,9
2023-03-01 22:14:55.176907,d6:63:75:43:c1:bf,33:33:00:00:00:02,9
2023-03-01 22:14:55.179840,fe:e8:8a:be:88:3d,33:33:00:00:00:02,9
2023-03-01 22:14:55.182905,d2:7d:f5:4d:a2:08,33:33:00:00:00:02,9
2023-03-01 22:14:55.185375,da:1a:05:ae:ee:14,33:33:00:00:00:02,9
2023-03-01 22:14:55.188136,7a:3c:7f:89:c6:9c,33:33:00:00:00:02,9
2023-03-01 22:14:55.191257,0a:5e:ca:0c:d7:ad,33:33:00:00:00:02,9
2023-03-01 22:14:55.195291,d6:63:75:43:c1:bf,33:33:00:00:00:02,9
2023-03-01 22:14:55.197881,d2:7d:f5:4d:a2:08,33:33:00:00:00:02,9
2023-03-01 22:14:55.200413,da:1a:05:ae:ee:14,33:33:00:00:00:02,9
2023-03-01 22:14:55.203035,7a:3c:7f:89:c6:9c,33:33:00:00:00:02,9
2023-03-01 22:14:55.205772,0a:5e:ca:0c:d7:ad,33:33:00:00:00:02,9
2023-03-01 22:14:55.216305,d6:63:75:43:c1:bf,33:33:00:00:00:02,9
2023-03-01 22:14:55.219172,fe:e8:8a:be:88:3d,33:33:00:00:00:02,9
2023-03-01 22:14:55.223703,da:1a:05:ae:ee:14,33:33:00:00:00:02,9
2023-03-01 22:14:55.227591,7a:3c:7f:89:c6:9c,33:33:00:00:00:02,9
2023-03-01 22:14:55.230579,0a:5e:ca:0c:d7:ad,33:33:00:00:00:02,9
2023-03-01 22:14:55.233871,d6:63:75:43:c1:bf,33:33:00:00:00:02,9
2023-03-01 22:14:55.236462,fe:e8:8a:be:88:3d,33:33:00:00:00:02,9
2023-03-01 22:14:55.239130,d2:7d:f5:4d:a2:08,33:33:00:00:00:02,9
2023-03-01 22:14:55.241717,7a:3c:7f:89:c6:9c,33:33:00:00:00:02,9
2023-03-01 22:14:55.244349,0a:5e:ca:0c:d7:ad,33:33:00:00:00:02,9
2023-03-01 22:14:55.247024,d6:63:75:43:c1:bf,33:33:00:00:00:02,9
